time_utc,asset,signal_type,score,price,status,details
2026-06-19 11:15:01,BTC,SCORE_WATCH,56,54465.0,🟡 BTC WATCH,RSI diario sobrevendido: 35.0|BTC bajo SMA200: -17.4%|Drawdown 30D relevante: -18.4%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 11:18:57,BTC,SCORE_WATCH,56,54453.0,🟡 BTC WATCH,RSI diario sobrevendido: 35.0|BTC bajo SMA200: -17.5%|Drawdown 30D relevante: -18.4%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 11:50:37,BTC,NO_SIGNAL,41,54614.0,⚪ SIN SEÑAL,BTC bajo SMA200: -17.2%|Drawdown 30D relevante: -18.2%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 12:58:47,BTC,NO_SIGNAL,41,54667.0,⚪ SIN SEÑAL,BTC bajo SMA200: -17.1%|Drawdown 30D relevante: -18.1%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 14:21:52,BTC,NO_SIGNAL,41,54997.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.6%|Drawdown 30D relevante: -17.6%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 15:52:55,BTC,NO_SIGNAL,41,55093.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.5%|Drawdown 30D relevante: -17.5%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 17:08:36,BTC,NO_SIGNAL,41,54865.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.8%|Drawdown 30D relevante: -17.8%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 17:58:26,BTC,NO_SIGNAL,41,55011.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.6%|Drawdown 30D relevante: -17.6%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 18:57:59,BTC,NO_SIGNAL,41,54881.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.8%|Drawdown 30D relevante: -17.8%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 19:57:06,BTC,NO_SIGNAL,41,54929.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.7%|Drawdown 30D relevante: -17.7%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 20:48:56,BTC,NO_SIGNAL,41,55000.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.6%|Drawdown 30D relevante: -17.6%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 21:43:36,BTC,NO_SIGNAL,41,54943.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.7%|Drawdown 30D relevante: -17.7%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 22:12:04,BTC,NO_SIGNAL,41,54899.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.8%|Drawdown 30D relevante: -17.8%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 22:36:56,BTC,NO_SIGNAL,41,55067.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.5%|Drawdown 30D relevante: -17.5%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 23:10:54,BTC,NO_SIGNAL,41,55095.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.5%|Drawdown 30D relevante: -17.5%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-19 23:41:15,BTC,NO_SIGNAL,41,55129.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.4%|Drawdown 30D relevante: -17.4%|Fear & Greed extremo: 14 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-20 00:12:52,BTC,NO_SIGNAL,41,55270.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.1%|Drawdown 30D relevante: -17.2%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-20 01:24:07,BTC,NO_SIGNAL,41,55251.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.1%|Drawdown 30D relevante: -17.2%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-20 02:44:37,BTC,NO_SIGNAL,41,55173.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.3%|Drawdown 30D relevante: -17.3%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.18
2026-06-20 04:15:54,BTC,NO_SIGNAL,41,55208.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.2%|Drawdown 30D relevante: -17.3%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 05:50:05,BTC,NO_SIGNAL,41,55387.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.9%|Drawdown 30D relevante: -17.0%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 07:38:18,BTC,NO_SIGNAL,41,55512.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.7%|Drawdown 30D relevante: -16.8%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 08:44:40,BTC,NO_SIGNAL,41,55261.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.1%|Drawdown 30D relevante: -17.2%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 09:53:47,BTC,NO_SIGNAL,41,55448.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.8%|Drawdown 30D relevante: -16.9%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 11:04:04,BTC,NO_SIGNAL,41,55463.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.8%|Drawdown 30D relevante: -16.9%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 11:57:56,BTC,NO_SIGNAL,41,55467.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.8%|Drawdown 30D relevante: -16.9%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 12:56:05,BTC,NO_SIGNAL,41,55372.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.0%|Drawdown 30D relevante: -17.0%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 13:58:51,BTC,NO_SIGNAL,41,55210.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.2%|Drawdown 30D relevante: -17.3%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 15:00:08,BTC,NO_SIGNAL,41,55693.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.5%|Drawdown 30D relevante: -16.6%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 15:53:37,BTC,NO_SIGNAL,41,55851.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.2%|Drawdown 30D relevante: -16.3%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 16:50:58,BTC,NO_SIGNAL,41,55724.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.4%|Drawdown 30D relevante: -16.5%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 17:49:43,BTC,NO_SIGNAL,41,55597.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.6%|Drawdown 30D relevante: -16.7%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 18:49:02,BTC,NO_SIGNAL,41,55574.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.6%|Drawdown 30D relevante: -16.7%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 19:53:33,BTC,NO_SIGNAL,41,55665.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.5%|Drawdown 30D relevante: -16.6%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 20:46:04,BTC,NO_SIGNAL,41,55620.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.6%|Drawdown 30D relevante: -16.7%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 21:18:58,BTC,NO_SIGNAL,41,55695.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.5%|Drawdown 30D relevante: -16.6%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 22:12:46,BTC,NO_SIGNAL,41,55746.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.4%|Drawdown 30D relevante: -16.5%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 22:43:40,BTC,NO_SIGNAL,41,55942.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.1%|Drawdown 30D relevante: -16.2%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 23:14:28,BTC,NO_SIGNAL,41,55963.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.1%|Drawdown 30D relevante: -16.2%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-20 23:46:05,BTC,NO_SIGNAL,41,55991.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.0%|Drawdown 30D relevante: -16.1%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-21 00:17:25,BTC,NO_SIGNAL,49,55943.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.9%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-21 01:39:42,BTC,NO_SIGNAL,49,55961.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.9%|Drawdown 30D relevante: -15.7%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-21 02:45:15,BTC,NO_SIGNAL,49,55938.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.9%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-21 04:17:43,BTC,NO_SIGNAL,49,56081.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.7%|Drawdown 30D relevante: -15.5%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-21 06:27:57,BTC,NO_SIGNAL,49,55946.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.9%|Drawdown 30D relevante: -15.7%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.20
2026-06-21 08:18:21,BTC,NO_SIGNAL,49,55823.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.1%|Drawdown 30D relevante: -15.9%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.20
2026-06-21 10:05:47,BTC,NO_SIGNAL,49,55912.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.0%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.20
2026-06-21 11:23:40,BTC,NO_SIGNAL,49,55972.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.9%|Drawdown 30D relevante: -15.7%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.20
2026-06-21 12:26:51,BTC,NO_SIGNAL,49,55744.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.2%|Drawdown 30D relevante: -16.1%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.20
2026-06-21 13:24:39,BTC,NO_SIGNAL,49,55860.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.1%|Drawdown 30D relevante: -15.9%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.20
2026-06-21 14:34:27,BTC,NO_SIGNAL,49,55745.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.2%|Drawdown 30D relevante: -16.1%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.20
2026-06-21 15:27:44,BTC,NO_SIGNAL,49,55900.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.0%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.20
2026-06-21 16:21:07,BTC,NO_SIGNAL,49,55884.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.0%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 17:15:30,BTC,NO_SIGNAL,49,55910.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.0%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 17:54:23,BTC,NO_SIGNAL,49,55873.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.0%|Drawdown 30D relevante: -15.9%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 18:51:20,BTC,NO_SIGNAL,49,55888.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.0%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 19:56:28,BTC,NO_SIGNAL,49,56003.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.8%|Drawdown 30D relevante: -15.7%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 20:48:31,BTC,NO_SIGNAL,49,55703.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.3%|Drawdown 30D relevante: -16.1%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 21:47:05,BTC,NO_SIGNAL,49,55652.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.4%|Drawdown 30D relevante: -16.2%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 22:19:18,BTC,NO_SIGNAL,49,55500.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.6%|Drawdown 30D relevante: -16.4%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 23:13:26,BTC,NO_SIGNAL,49,55515.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.6%|Drawdown 30D relevante: -16.4%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-21 23:48:41,BTC,NO_SIGNAL,49,55189.0,⚪ SIN SEÑAL,BTC bajo SMA200: -16.1%|Drawdown 30D relevante: -16.9%|Fear & Greed extremo: 23 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-22 01:31:58,BTC,NO_SIGNAL,49,56310.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.2%|Drawdown 30D relevante: -15.2%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.20
2026-06-22 02:45:19,BTC,NO_SIGNAL,49,56216.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.4%|Drawdown 30D relevante: -15.4%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.19
2026-06-22 04:18:03,BTC,NO_SIGNAL,49,55787.0,⚪ SIN SEÑAL,BTC bajo SMA200: -15.0%|Drawdown 30D relevante: -16.0%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.19
2026-06-22 06:39:32,BTC,NO_SIGNAL,49,55844.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.9%|Drawdown 30D relevante: -15.9%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.19
2026-06-22 08:46:05,BTC,NO_SIGNAL,49,56034.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.6%|Drawdown 30D relevante: -15.6%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.19
2026-06-22 10:46:21,BTC,NO_SIGNAL,49,55877.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.9%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.19
2026-06-22 12:49:58,BTC,LUMP_SUM_RECLAIM,62,56784.0,🟡 BTC WATCH,"Precio recupera reclaim: 56,500 €|BTC bajo SMA200: -13.5%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.19"
2026-06-22 15:09:02,BTC,LUMP_SUM_RECLAIM,62,56686.0,🟡 BTC WATCH,"Precio recupera reclaim: 56,500 €|BTC bajo SMA200: -13.7%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 4/5|MVRV current atractivo: 1.19"
2026-06-22 16:58:38,BTC,LUMP_SUM_RECLAIM,62,56591.0,🟡 BTC WATCH,"Precio recupera reclaim: 56,500 €|BTC bajo SMA200: -13.8%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19"
2026-06-22 18:36:04,BTC,NO_SIGNAL,39,56476.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.0%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-22 19:56:19,BTC,NO_SIGNAL,49,56360.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.1%|Drawdown 30D relevante: -15.1%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-22 21:17:23,BTC,NO_SIGNAL,49,56275.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.3%|Drawdown 30D relevante: -15.3%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-22 22:24:14,BTC,NO_SIGNAL,49,56150.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.5%|Drawdown 30D relevante: -15.4%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-22 23:14:43,BTC,NO_SIGNAL,49,55933.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.8%|Drawdown 30D relevante: -15.8%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-22 23:48:32,BTC,NO_SIGNAL,49,55948.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.8%|Drawdown 30D relevante: -15.7%|Fear & Greed extremo: 20 (Extreme Fear)|Funding negativo 3/5|MVRV current atractivo: 1.19
2026-06-23 01:17:16,BTC,NO_SIGNAL,41,56157.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.3%|Drawdown 30D relevante: -15.4%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-23 02:07:49,BTC,NO_SIGNAL,41,56064.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.4%|Drawdown 30D relevante: -15.6%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.19
2026-06-23 03:28:35,BTC,NO_SIGNAL,41,56029.0,⚪ SIN SEÑAL,BTC bajo SMA200: -14.5%|Drawdown 30D relevante: -15.6%|Fear & Greed extremo: 23 (Extreme Fear)|MVRV current atractivo: 1.20
